doc_no,filename,category,date,phase,owner,counterparty,summary,event_code,file_type,estimated_pages
06-024,RFI-024 - Retail Signage Conduit Provision.pdf,06_rfi,2026-08-26,Construction,Contractor,Superintendent / Consultants,Clarifies landlord base-building conduit provisions for future retail signage installations.,EV-10,application/pdf,3
07-001,VD-001 - Additional Test Piles and Verification Works.pdf,07_variations,2025-10-30,Construction,Superintendent,Contractor,Direction for additional test piles and associated verification works.,EV-02,application/pdf,4
07-002,VD-002 - Additional Piling at Tower Core.pdf,07_variations,2025-11-14,Construction,Superintendent,Contractor,Direction for extra piles following revised geotechnical interpretation.,EV-02,application/pdf,4
07-003,VD-003 - Laneway B Traffic Management Reconfiguration.pdf,07_variations,2026-01-27,Construction,Superintendent,Contractor,Direction changing traffic-management and hoarding configuration at laneway interface.,EV-05,application/pdf,4
07-004,VD-004 - Façade Panel Specification Change to A2 System.pdf,07_variations,2026-02-03,Construction,Superintendent,Contractor,Direction changing façade panels to A2-compliant system.,EV-07,application/pdf,4
07-005,VD-005 - Latent Conditions Excavation Support Measures.pdf,07_variations,2026-02-24,Construction,Superintendent,Contractor,Direction for temporary support and revised excavation measures due to basalt and groundwater.,EV-06,application/pdf,4
07-006,VD-006 - Basement Waterproofing Composite Upgrade.pdf,07_variations,2026-03-04,Construction,Superintendent,Contractor,Direction upgrading basement waterproofing and perimeter drainage build-up.,EV-08,application/pdf,4
07-007,VD-007 - Electrical Riser Reroute and Beam Penetrations.pdf,07_variations,2026-05-06,Construction,Superintendent,Contractor,Direction implementing agreed electrical riser reroute and structural openings.,EV-09,application/pdf,4
07-008,VD-008 - Retail Acoustic Separation Upgrade.pdf,07_variations,2026-06-18,Construction,Superintendent,Contractor,Direction for acoustic enhancements between retail plant and residential interface.,EV-10,application/pdf,4
07-009,VD-009 - Lift Procurement Acceleration Measures.pdf,07_variations,2026-07-14,Construction,Superintendent,Contractor,Direction approving acceleration measures for lift procurement and installation sequence.,EV-10,application/pdf,4
07-010,VC-001 - Variation Claim - Additional Test Piles and Verification Works.pdf,07_variations,2025-11-12,Construction,Contractor,Superintendent,"Contractor valuation for additional test piles, testing, and supervision.",EV-02,application/pdf,7
07-011,VC-002 - Variation Claim - Additional Piling at Tower Core.pdf,07_variations,2025-12-02,Construction,Contractor,Superintendent,"Pricing claim for extra piling quantities, mobilisation, and concrete overbreak.",EV-02,application/pdf,7
07-012,VC-003 - Variation Claim - Laneway B Traffic Management Reconfiguration.pdf,07_variations,2026-02-08,Construction,Contractor,Superintendent,"Pricing claim for revised traffic management, barriers, controllers, and resequencing.",EV-05,application/pdf,7
07-013,VC-004 - Variation Claim - Façade Panel Specification Change.pdf,07_variations,2026-02-19,Construction,Contractor,Superintendent,"Pricing claim for façade panel change including lead time, support rails, and redesign.",EV-07,application/pdf,7
07-014,VC-005 - Variation Claim - Latent Conditions Excavation Support Measures.pdf,07_variations,2026-03-03,Construction,Contractor,Superintendent,"Pricing claim for rock breaking, temporary support, and groundwater management.",EV-06,application/pdf,7
07-015,VC-006 - Variation Claim - Basement Waterproofing Composite Upgrade.pdf,07_variations,2026-03-18,Construction,Contractor,Superintendent,Pricing claim for composite waterproofing system and perimeter drainage cells.,EV-08,application/pdf,7
07-016,VC-007 - Variation Claim - Electrical Riser Reroute and Beam Penetrations.pdf,07_variations,2026-05-20,Construction,Contractor,Superintendent,Pricing claim for rerouted electrical services and associated builder works.,EV-09,application/pdf,7
07-017,VC-008 - Variation Claim - Retail Acoustic Separation Upgrade.pdf,07_variations,2026-06-29,Construction,Contractor,Superintendent,"Pricing claim for upgraded acoustic wall, ceiling, and services isolation measures.",EV-10,application/pdf,7
07-018,VC-009 - Variation Claim - Lift Procurement Acceleration Measures.pdf,07_variations,2026-07-29,Construction,Contractor,Superintendent,"Pricing claim for accelerated lift shop drawings, freight, and revised installation sequence.",EV-10,application/pdf,7
08-001,NOD-001 - Inclement Weather - November 2025.pdf,08_nod,2025-11-27,Construction,Contractor,Superintendent,Delay notice for abnormal rainfall affecting excavation productivity and spoil haulage.,EV-02,application/pdf,4
08-002,NOD-002 - Inclement Weather - January 2026.pdf,08_nod,2026-01-12,Construction,Contractor,Superintendent,Delay notice for repeated January storm events and unsafe excavation conditions.,EV-04,application/pdf,4
08-003,NOD-003 - Laneway B Restricted Access.pdf,08_nod,2026-01-19,Construction,Contractor,Superintendent,Delay notice arising from restricted access and changed traffic management controls.,EV-05,application/pdf,4
08-004,NOD-004 - Groundwater Ingress at B3.pdf,08_nod,2026-02-19,Construction,Contractor,Superintendent,Delay notice for groundwater ingress affecting excavation and waterproofing sequence.,EV-06,application/pdf,4
08-005,NOD-005 - Basalt Encounter at B3.pdf,08_nod,2026-02-21,Construction,Contractor,Superintendent,Delay notice for basalt encounter requiring revised equipment and excavation methodology.,EV-06,application/pdf,4
08-006,NOD-006 - Façade Panel Specification Change.pdf,08_nod,2026-02-05,Construction,Contractor,Superintendent,Delay notice for revised façade specification impacting procurement and shop drawing sequence.,EV-07,application/pdf,4
08-007,NOD-007 - Waterproofing Upgrade Direction.pdf,08_nod,2026-03-05,Construction,Contractor,Superintendent,Delay notice for revised waterproofing scope affecting basement critical path activities.,EV-08,application/pdf,4
08-008,NOD-008 - Electrical Authority Review Hold.pdf,08_nod,2026-04-26,Construction,Contractor,Superintendent,Delay notice for authority review hold affecting substation and electrical riser works.,EV-09,application/pdf,4
08-009,NOD-009 - Electrical Riser Structural Clash.pdf,08_nod,2026-05-04,Construction,Contractor,Superintendent,Delay notice for unresolved electrical riser clash at transfer structure.,EV-09,application/pdf,4
08-010,NOD-010 - Retail Acoustic Upgrade.pdf,08_nod,2026-06-21,Construction,Contractor,Superintendent,Delay notice for principal-requested acoustic upgrade affecting podium fitout sequence.,EV-10,application/pdf,4
08-011,NOD-011 - Lift Procurement Delay.pdf,08_nod,2026-06-24,Construction,Contractor,Superintendent,Delay notice for extended lift manufacturing lead times and downstream commissioning impact.,EV-10,application/pdf,4
08-012,NOD-012 - Balustrade Certification Hold Point.pdf,08_nod,2026-08-08,Construction,Contractor,Superintendent,Delay notice for certification hold point on custom balustrade wind-load evidence.,EV-10,application/pdf,4
09-001,EOT-001 - Extension of Time Claim - November 2025 Weather.pdf,09_eot,2025-12-05,Construction,Contractor,Superintendent / Principal,EOT claim for weather-affected excavation productivity and access during November 2025.,EV-02,application/pdf,12
09-002,EOT-002 - Extension of Time Claim - January 2026 Inclement Weather.pdf,09_eot,2026-02-04,Construction,Contractor,Superintendent / Principal,"EOT claim for abnormal January weather, supported by BOM data and site diaries.",EV-04,application/pdf,12
09-003,EOT-003 - Extension of Time Claim - Laneway B Restricted Access.pdf,09_eot,2026-02-15,Construction,Contractor,Superintendent / Principal,EOT claim for access restrictions and revised traffic-management controls.,EV-05,application/pdf,12
09-004,EOT-004 - Extension of Time Claim - Groundwater and Basalt Latent Conditions.pdf,09_eot,2026-03-08,Construction,Contractor,Superintendent / Principal,"EOT claim for latent conditions, revised methodology, and critical path disruption.",EV-06,application/pdf,12
09-005,EOT-005 - Extension of Time Claim - Façade Panel Specification Change.pdf,09_eot,2026-03-16,Construction,Contractor,Superintendent / Principal,EOT claim for revised façade panel specification and procurement lead-time effects.,EV-07,application/pdf,12
09-006,EOT-006 - Extension of Time Claim - Waterproofing Upgrade.pdf,09_eot,2026-03-28,Construction,Contractor,Superintendent / Principal,EOT claim for basement waterproofing composite upgrade and resequencing.,EV-08,application/pdf,12
09-007,EOT-007 - Extension of Time Claim - Electrical Authority Review Hold.pdf,09_eot,2026-05-09,Construction,Contractor,Superintendent / Principal,EOT claim for authority review hold on substation and associated electrical works.,EV-09,application/pdf,12
09-008,EOT-008 - Extension of Time Claim - Electrical Riser Clash.pdf,09_eot,2026-05-28,Construction,Contractor,Superintendent / Principal,EOT claim for structural clash resolution and delayed services rough-in.,EV-09,application/pdf,12
09-009,EOT-009 - Extension of Time Claim - Retail Acoustic Upgrade.pdf,09_eot,2026-07-02,Construction,Contractor,Superintendent / Principal,EOT claim for principal-requested retail acoustic upgrade works.,EV-10,application/pdf,12
09-010,EOT-010 - Extension of Time Claim - Lift Procurement Delay.pdf,09_eot,2026-07-18,Construction,Contractor,Superintendent / Principal,EOT claim for extended lift manufacturing lead times and commissioning impacts.,EV-10,application/pdf,12
10-001,Progress Claim #1 - September 2025.pdf,10_payment_claims,2025-09-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #1 valuing work completed in September 2025 at AUD 1180000.00, inclusive of assessed variations and unfixed materials.",EV-02,application/pdf,14
10-002,Progress Claim #2 - October 2025.pdf,10_payment_claims,2025-10-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #2 valuing work completed in October 2025 at AUD 1420000.00, inclusive of assessed variations and unfixed materials.",EV-02,application/pdf,14
10-003,Progress Claim #3 - November 2025.pdf,10_payment_claims,2025-11-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #3 valuing work completed in November 2025 at AUD 1670000.00, inclusive of assessed variations and unfixed materials.",EV-06,application/pdf,14
10-004,Progress Claim #4 - December 2025.pdf,10_payment_claims,2025-12-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #4 valuing work completed in December 2025 at AUD 1550000.00, inclusive of assessed variations and unfixed materials.",EV-06,application/pdf,14
10-005,Progress Claim #5 - January 2026.pdf,10_payment_claims,2026-01-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #5 valuing work completed in January 2026 at AUD 1710000.00, inclusive of assessed variations and unfixed materials.",EV-06,application/pdf,14
10-006,Progress Claim #6 - February 2026.pdf,10_payment_claims,2026-02-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #6 valuing work completed in February 2026 at AUD 1940000.00, inclusive of assessed variations and unfixed materials.",EV-08,application/pdf,14
10-007,Progress Claim #7 - March 2026.pdf,10_payment_claims,2026-03-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #7 valuing work completed in March 2026 at AUD 2060000.00, inclusive of assessed variations and unfixed materials.",EV-08,application/pdf,14
10-008,Progress Claim #8 - April 2026.pdf,10_payment_claims,2026-04-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #8 valuing work completed in April 2026 at AUD 2210000.00, inclusive of assessed variations and unfixed materials.",EV-08,application/pdf,14
10-009,Progress Claim #9 - May 2026.pdf,10_payment_claims,2026-05-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #9 valuing work completed in May 2026 at AUD 2340000.00, inclusive of assessed variations and unfixed materials.",EV-10,application/pdf,14
10-010,Progress Claim #10 - June 2026.pdf,10_payment_claims,2026-06-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #10 valuing work completed in June 2026 at AUD 2480000.00, inclusive of assessed variations and unfixed materials.",EV-10,application/pdf,14
10-011,Progress Claim #11 - July 2026.pdf,10_payment_claims,2026-07-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #11 valuing work completed in July 2026 at AUD 2630000.00, inclusive of assessed variations and unfixed materials.",EV-10,application/pdf,14
10-012,Progress Claim #12 - August 2026.pdf,10_payment_claims,2026-08-25,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Monthly progress claim #12 valuing work completed in August 2026 at AUD 2740000.00, inclusive of assessed variations and unfixed materials.",EV-10,application/pdf,14
11-001,Payment Schedule #1 - September 2025.pdf,11_payment_schedules,2025-10-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #1 certifying AUD 1138700.00 after retention and disputed-item adjustments.,EV-02,application/pdf,6
11-002,Payment Schedule #2 - October 2025.pdf,11_payment_schedules,2025-11-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #2 certifying AUD 1370300.00 after retention and disputed-item adjustments.,EV-02,application/pdf,6
11-003,Payment Schedule #3 - November 2025.pdf,11_payment_schedules,2025-12-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #3 certifying AUD 1611550.00 after retention and disputed-item adjustments.,EV-06,application/pdf,6
11-004,Payment Schedule #4 - December 2025.pdf,11_payment_schedules,2026-01-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #4 certifying AUD 1495750.00 after retention and disputed-item adjustments.,EV-06,application/pdf,6
11-005,Payment Schedule #5 - January 2026.pdf,11_payment_schedules,2026-02-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #5 certifying AUD 1650150.00 after retention and disputed-item adjustments.,EV-06,application/pdf,6
11-006,Payment Schedule #6 - February 2026.pdf,11_payment_schedules,2026-03-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #6 certifying AUD 1872100.00 after retention and disputed-item adjustments.,EV-08,application/pdf,6
11-007,Payment Schedule #7 - March 2026.pdf,11_payment_schedules,2026-04-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #7 certifying AUD 1987900.00 after retention and disputed-item adjustments.,EV-08,application/pdf,6
11-008,Payment Schedule #8 - April 2026.pdf,11_payment_schedules,2026-05-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #8 certifying AUD 2132650.00 after retention and disputed-item adjustments.,EV-08,application/pdf,6
11-009,Payment Schedule #9 - May 2026.pdf,11_payment_schedules,2026-06-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #9 certifying AUD 2258100.00 after retention and disputed-item adjustments.,EV-10,application/pdf,6
11-010,Payment Schedule #10 - June 2026.pdf,11_payment_schedules,2026-07-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #10 certifying AUD 2393200.00 after retention and disputed-item adjustments.,EV-10,application/pdf,6
11-011,Payment Schedule #11 - July 2026.pdf,11_payment_schedules,2026-08-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #11 certifying AUD 2537950.00 after retention and disputed-item adjustments.,EV-10,application/pdf,6
11-012,Payment Schedule #12 - August 2026.pdf,11_payment_schedules,2026-09-10,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Superintendent's payment schedule #12 certifying AUD 2644100.00 after retention and disputed-item adjustments.,EV-10,application/pdf,6
12-001,INV-0145 - Geotechnical Investigation - Additional Boreholes.pdf,12_third_party_invoices,2026-02-27,Construction,Third Party,Contractor / Principal,Invoice for additional geotechnical investigation and reporting at B3 basement.,EV-06,application/pdf,2
12-002,INV-0146 - Survey Setout - February 2026.pdf,12_third_party_invoices,2026-02-29,Construction,Third Party,Contractor / Principal,Monthly survey setout and monitoring invoice for February 2026.,EV-06,application/pdf,2
12-003,INV-0147 - Independent Concrete Testing - March 2026.pdf,12_third_party_invoices,2026-03-03,Construction,Third Party,Contractor / Principal,Invoice for concrete cylinder testing and reporting for basement pours.,EV-08,application/pdf,2
12-004,INV-0148 - Traffic Management Services - Laneway B.pdf,12_third_party_invoices,2026-03-05,Construction,Third Party,Contractor / Principal,Invoice for revised traffic management and controllers at Laneway B.,EV-05,application/pdf,2
12-005,INV-0149 - Groundwater Dewatering Plant Hire.pdf,12_third_party_invoices,2026-03-11,Construction,Third Party,Contractor / Principal,Invoice for temporary dewatering plant and pumps used during latent condition response.,EV-06,application/pdf,2
12-006,INV-0150 - Façade Engineering Advice - A2 System.pdf,12_third_party_invoices,2026-03-19,Construction,Third Party,Contractor / Principal,Invoice for façade engineering review tied to A2-compliant panel redesign.,EV-07,application/pdf,2
12-007,INV-0151 - Waterproofing Supplier Technical Attendance.pdf,12_third_party_invoices,2026-04-08,Construction,Third Party,Contractor / Principal,Invoice for manufacturer technical attendance and mock-up review.,EV-08,application/pdf,2
12-008,INV-0152 - Electrical Authority Application Fees.pdf,12_third_party_invoices,2026-04-30,Construction,Third Party,Contractor / Principal,Invoice covering authority review fees and application administration.,EV-09,application/pdf,2
12-009,INV-0153 - Temporary Structural Works Design.pdf,12_third_party_invoices,2026-05-12,Construction,Third Party,Contractor / Principal,Invoice for temporary works engineering associated with riser clash openings.,EV-09,application/pdf,2
12-010,INV-0154 - Acoustic Consultant Fee Proposal - Podium Upgrade.pdf,12_third_party_invoices,2026-06-24,Construction,Third Party,Contractor / Principal,Invoice for acoustic consultant redesign services for retail interface upgrade.,EV-10,application/pdf,2
12-011,INV-0155 - Lift Supplier Reservation Payment.pdf,12_third_party_invoices,2026-07-03,Construction,Third Party,Contractor / Principal,Invoice for lift supplier reservation payment and accelerated shop drawing release.,EV-10,application/pdf,2
12-012,INV-0156 - Balustrade Prototype Testing.pdf,12_third_party_invoices,2026-08-09,Construction,Third Party,Contractor / Principal,Invoice for prototype balustrade testing and certification documentation.,EV-10,application/pdf,2
13-001,Baseline Construction Programme Rev A.pdf,13_other,2025-09-30,Construction Support,Apex Construction Pty Ltd,Project Team,Baseline logic-linked programme for the entire project including key authority milestones.,EV-01,application/pdf,18
13-002,Construction Programme Rev B.pdf,13_other,2025-11-29,Construction Support,Apex Construction Pty Ltd,Project Team,Updated programme incorporating additional piling and excavation productivity adjustments.,EV-02,application/pdf,18
13-003,Construction Programme Rev C.pdf,13_other,2026-01-31,Construction Support,Apex Construction Pty Ltd,Project Team,Updated programme incorporating weather delay and Laneway B access restrictions.,EV-05,application/pdf,18
13-004,Construction Programme Rev D.pdf,13_other,2026-03-20,Construction Support,Apex Construction Pty Ltd,Project Team,Updated programme incorporating latent conditions and waterproofing upgrade.,EV-08,application/pdf,19
13-005,Construction Programme Rev E.pdf,13_other,2026-05-31,Construction Support,Apex Construction Pty Ltd,Project Team,Updated programme incorporating electrical authority review and riser coordination impacts.,EV-09,application/pdf,19
13-006,Construction Programme Rev F.pdf,13_other,2026-07-31,Construction Support,Apex Construction Pty Ltd,Project Team,Updated programme incorporating lift procurement delay and acoustic redesign impacts.,EV-10,application/pdf,19
13-007,Site Meeting Minutes #01 to #06 Compilation.pdf,13_other,2025-12-20,Construction Support,Apex Construction Pty Ltd,Project Team,Compilation of early fortnightly site meeting minutes covering mobilisation and substructure issues.,EV-03,application/pdf,36
13-008,Site Meeting Minutes #07 to #12 Compilation.pdf,13_other,2026-03-25,Construction Support,Apex Construction Pty Ltd,Project Team,"Compilation of site meeting minutes covering weather, access, latent conditions, and variations.",EV-08,application/pdf,38
13-009,Site Meeting Minutes #13 to #18 Compilation.pdf,13_other,2026-06-30,Construction Support,Apex Construction Pty Ltd,Project Team,Compilation of site meeting minutes covering services coordination and authority interfaces.,EV-09,application/pdf,40
13-010,Site Meeting Minutes #19 to #24 Compilation.pdf,13_other,2026-09-30,Construction Support,Apex Construction Pty Ltd,Project Team,"Compilation of site meeting minutes covering fitout, lift, façade, and close-out planning matters.",EV-10,application/pdf,42
13-011,Quality Management Plan.pdf,13_other,2025-09-18,Construction Support,Apex Construction Pty Ltd,Project Team,"Project quality management plan, ITP framework, hold points, and records matrix.",EV-01,application/pdf,34
13-012,Environmental Management Plan.pdf,13_other,2025-09-18,Construction Support,Apex Construction Pty Ltd,Project Team,"Project environmental controls, monitoring, and incident-response requirements.",EV-01,application/pdf,27
13-013,Traffic Management Plan Rev B.pdf,13_other,2026-01-24,Construction Support,Apex Construction Pty Ltd,Project Team,Revised traffic management plan for Laneway B and public interface controls.,EV-05,application/pdf,24
13-014,Geotechnical Investigation Report SD-RT-2026-018.pdf,13_other,2026-02-20,Construction Support,Apex Construction Pty Ltd,Project Team,Supplementary geotechnical report documenting groundwater and basalt conditions at B3.,EV-06,application/pdf,52
13-015,Waterproofing Mock-Up Inspection Report.pdf,13_other,2026-03-29,Construction Support,Apex Construction Pty Ltd,Project Team,Inspection and acceptance report for revised basement waterproofing mock-up.,EV-08,application/pdf,12
13-016,Authority Coordination Tracker Rev C.pdf,13_other,2026-05-10,Construction Support,Apex Construction Pty Ltd,Project Team,"Tracker of authority submissions, comments, hold points, and closure actions.",EV-09,application/pdf,10
13-017,Monthly Photo Report - July 2026.pdf,13_other,2026-07-31,Construction Support,Apex Construction Pty Ltd,Project Team,"Annotated photo report showing façade install, services rough-in, and podium fitout progress.",EV-10,application/pdf,26
13-018,Defects and Commissioning Readiness Tracker Rev A.pdf,13_other,2026-10-15,Construction Support,Apex Construction Pty Ltd,Project Team,"Readiness tracker for commissioning, defects management, and close-out deliverables.",EV-10,application/pdf,14
